,city,train_len,train_RMSE,test_RMSE,class
0,StGallen_Stuelegg,12.0,2.7959458459332653,1.7403047228747075,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.278902094514845,7.376918270608085,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.078806786757047,11.168750438458176,low traffic
0,Opfikon_Balsberg,18.0,6.919371816011073,6.9632732541602795,high traffic
0,StGallen_Blumenbergplatz,18.0,6.878710273667932,5.414228116583412,low traffic
0,StGallen_Stuelegg,18.0,3.0930719617647844,1.797040101345159,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.588301032613839,7.4984991565549475,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.141762898736183,7.2745934005625665,low traffic
0,Opfikon_Balsberg,24.0,6.848902953479126,5.648268399438073,high traffic
0,StGallen_Blumenbergplatz,24.0,6.980298034455758,4.888154539091743,low traffic
0,StGallen_Stuelegg,24.0,2.9535712691254528,1.6590998041067964,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.912441914354288,7.013851798496632,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.259794770184178,7.038908275585363,low traffic
0,Opfikon_Balsberg,3.0,5.145729989217934,9.667520618998958,high traffic
0,StGallen_Blumenbergplatz,3.0,4.276392227311528,8.158560820675259,low traffic
0,StGallen_Stuelegg,3.0,1.0687685616404594,1.2778342784000776,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.554601615935006,25.49998239735029,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.08759392127703,17.5615381439363,low traffic
0,Opfikon_Balsberg,6.0,5.5964107232813225,10.238832061532941,high traffic
0,StGallen_Blumenbergplatz,6.0,5.196638546755995,6.290597853498443,low traffic
0,StGallen_Stuelegg,6.0,2.3774621896066335,1.1817870256499128,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.493156101911606,4.72757347989954,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.365361515649703,16.03401486485213,low traffic
0,Opfikon_Balsberg,9.0,6.440450616643156,7.019115529247638,high traffic
0,StGallen_Blumenbergplatz,9.0,6.848526179473181,6.849269337140333,low traffic
0,StGallen_Stuelegg,9.0,2.9819597030461087,1.195897420096021,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.413347768562797,5.442508180321265,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,7.185614170110194,14.410662427600757,low traffic
0,Opfikon_Balsberg,12.0,6.499043620374471,5.400710068911629,high traffic
0,StGallen_Blumenbergplatz,12.0,6.8653288733473925,7.114221144273037,low traffic
0,StGallen_Stuelegg,12.0,2.8219793145193393,1.2123093995711773,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.350919253672646,7.770313648055203,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.1583316219527395,12.858083457560703,low traffic
0,Opfikon_Balsberg,18.0,6.7118327992901845,4.515833405061624,high traffic
0,StGallen_Blumenbergplatz,18.0,6.76399049442572,7.604500067282918,low traffic
0,StGallen_Stuelegg,18.0,2.9994441895980635,0.9163650740250231,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.637107499366605,8.250272313690422,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.182382336839993,9.139249941294025,low traffic
0,Opfikon_Balsberg,24.0,6.769629457836835,4.478131295195263,high traffic
0,StGallen_Blumenbergplatz,24.0,6.9108656158028,7.578946243398007,low traffic
0,StGallen_Stuelegg,24.0,2.96342784425435,1.030408452053382,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.879122341257447,7.191427526575854,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.304438537854509,6.276802401725732,low traffic
0,Opfikon_Balsberg,3.0,4.317028296533279,10.528976837962192,high traffic
0,StGallen_Blumenbergplatz,3.0,4.614914681601417,9.455776993391728,low traffic
0,StGallen_Stuelegg,3.0,0.9433149581131504,2.6136105935562686,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.695056391719369,11.55770061868696,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,4.323198451277638,17.1761177819432,low traffic
0,Opfikon_Balsberg,6.0,4.582693809649156,8.255776804104203,high traffic
0,StGallen_Blumenbergplatz,6.0,3.9455755684465914,5.943382123807881,low traffic
0,StGallen_Stuelegg,6.0,1.5596238188526672,2.1753051290384136,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.269956610059427,10.787211445565163,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,5.701807629078752,17.163178183952454,low traffic
0,Opfikon_Balsberg,9.0,6.3330960615538,7.820259011000294,high traffic
0,StGallen_Blumenbergplatz,9.0,6.694920031186856,5.0429403764982785,low traffic
0,StGallen_Stuelegg,9.0,2.6812415146772794,2.2883898417651958,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.291407634810445,8.443984866112844,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.841019285550412,10.402970864450225,low traffic
0,Opfikon_Balsberg,12.0,6.499060544906867,5.804297866566085,high traffic
0,StGallen_Blumenbergplatz,12.0,6.867615051252455,5.317111319988257,low traffic
0,StGallen_Stuelegg,12.0,2.8071712483726694,2.5297422758011097,no traffic
