,pm10,sun,t,o3,no2,nox,no,ws,wd,press,h,pm25,co,p,so2,city
2017-04-02,15.699583333333335,182.29541666666668,11.743750000000004,79.84083333333332,17.044583333333332,12.16666666666667,4.058333333333334,0.8370833333333335,152.98833333333334,939.2029166666665,64.85041666666666,11.664166666666668,,2.22,,StGallen_Blumenbergplatz
2017-04-02,13.492083333333335,159.6233333333333,9.01125,85.03958333333333,7.175833333333333,4.39,0.7933333333333333,1.176666666666667,120.30083333333334,913.2933333333334,74.29708333333333,,,2.317083333333333,,StGallen_Stuelegg
2017-04-02,15.303749999999999,,13.274166666666666,69.70666666666666,30.186666666666664,24.551666666666666,10.933749999999998,0.6941666666666667,43.837916666666665,,58.76041666666666,10.763333333333335,,0.45,,Zuerich_Schimmelstrasse
2017-04-02,13.15875,154.39208333333332,13.259583333333337,75.27916666666667,17.010833333333334,11.560416666666667,3.32375,1.6845833333333335,138.59291666666667,966.3204166666666,58.683749999999996,9.51,0.2254166666666667,0.24958333333333335,0.8308333333333332,Zuerich_Stampfenbachstrasse
2017-04-03,20.15375,,13.795833333333334,59.045416666666675,29.85083333333333,24.543333333333337,11.141666666666666,1.0741666666666665,93.55791666666666,971.2020833333332,67.87208333333334,,,2.2583333333333333,,Opfikon_Balsberg
2017-04-03,23.79291666666667,154.95624999999998,12.27375,64.73541666666665,31.980416666666667,26.898750000000003,12.692916666666664,0.9037500000000002,115.5175,943.9425,78.98541666666667,18.085416666666664,,7.258749999999999,,StGallen_Blumenbergplatz
2017-04-03,20.715833333333332,136.33583333333328,9.766666666666667,81.35125000000002,9.021666666666667,5.325,0.7575,1.5649999999999997,183.40625,918.0854166666664,84.78750000000001,,,9.689166666666667,,StGallen_Stuelegg
2017-04-03,23.525833333333335,,14.380833333333333,57.84625,46.68625,45.847500000000004,26.73416666666667,0.8350000000000001,94.25916666666664,,64.81833333333331,16.51291666666667,,1.3291666666666666,,Zuerich_Schimmelstrasse
2017-04-03,20.812499999999996,187.41250000000005,14.207916666666664,64.43541666666665,29.34375,23.20958333333333,9.809166666666666,1.9816666666666667,44.41541666666668,971.0941666666664,65.16875,15.25458333333333,0.26583333333333337,1.2091666666666667,1.1187500000000001,Zuerich_Stampfenbachstrasse
2017-04-04,22.732083333333332,,12.521666666666667,55.32875000000001,31.35375,29.50291666666666,16.349583333333335,0.9187500000000001,125.98083333333335,970.7458333333334,64.04916666666666,,,2.894166666666667,,Opfikon_Balsberg
2017-04-04,20.237826086956524,103.27086956521737,9.979565217391304,54.720454545454544,33.63227272727272,26.067272727272726,10.575,0.48333333333333334,188.86291666666668,943.4134782608696,82.55260869565218,15.676086956521745,,8.130869565217392,,StGallen_Blumenbergplatz
2017-04-04,15.867083333333333,77.48541666666668,7.5683333333333325,82.9917391304348,10.182173913043478,5.586521739130435,0.32913043478260867,1.1708333333333332,155.86875,917.4341666666666,83.0675,,,11.844166666666668,,StGallen_Stuelegg
2017-04-04,26.347826086956516,,13.17375,50.749583333333334,46.14125000000001,45.645,26.83666666666666,0.40541666666666654,122.44624999999998,,63.61541666666667,18.80652173913043,,3.1300000000000003,,Zuerich_Schimmelstrasse
2017-04-04,24.383333333333336,131.32583333333332,12.998750000000003,57.33833333333334,34.86249999999999,31.167083333333334,16.135,1.1433333333333333,110.84083333333335,970.7012500000001,63.07375000000001,18.005000000000003,0.2874999999999999,4.217916666666667,0.6383333333333333,Zuerich_Stampfenbachstrasse
2017-04-05,20.39541666666667,,11.40375,60.57521739130435,34.756818181818176,26.937272727272727,10.928181818181818,0.88875,141.05208333333334,971.0645833333336,62.07125,,,0.0,,Opfikon_Balsberg
2017-04-05,20.2425,134.56291666666667,9.1425,60.931666666666665,33.19875,27.50666666666667,12.655416666666667,0.7241666666666667,119.59791666666665,943.4620833333333,75.12458333333332,15.984583333333331,,3.2783333333333338,,StGallen_Blumenbergplatz
2017-04-05,15.682916666666666,95.3058333333333,6.5183333333333335,80.44083333333334,11.53583333333333,6.788333333333331,0.9420833333333336,1.1383333333333334,136.12875,917.3762500000001,79.91458333333334,,,4.441666666666666,,StGallen_Stuelegg
2017-04-05,24.944166666666664,,11.589999999999998,55.22375,44.98708333333334,43.137916666666676,24.461666666666673,0.6570833333333334,91.5,,62.45166666666666,17.823333333333334,,1.3120833333333335,,Zuerich_Schimmelstrasse
2017-04-05,22.304166666666664,148.30083333333337,11.61125,61.35833333333333,32.02291666666666,25.724166666666665,11.199583333333335,1.54375,91.28458333333333,970.9983333333333,61.155416666666696,16.684166666666666,0.27166666666666667,0.9279166666666666,0.6391666666666668,Zuerich_Stampfenbachstrasse
2017-04-06,25.114166666666666,,10.167916666666668,66.90227272727273,22.318636363636365,16.082727272727272,5.502727272727271,1.2983333333333331,115.32791666666664,972.6529166666666,53.22875,,,0.0,,Opfikon_Balsberg
2017-04-06,29.4075,124.2675,7.876666666666668,55.039583333333326,34.035833333333336,30.10083333333333,15.344999999999999,0.8679166666666668,59.48708333333335,945.058333333333,66.91458333333334,21.44083333333333,,1.2458333333333333,,StGallen_Blumenbergplatz
2017-04-06,23.876666666666665,92.93,4.952916666666668,66.49666666666668,15.209999999999999,8.800833333333332,1.0570833333333334,1.54,187.54374999999996,918.69875,77.27999999999999,,,1.2975,,StGallen_Stuelegg
2017-04-06,30.29875,,10.770833333333334,52.98624999999999,41.56416666666667,41.373333333333335,24.494999999999994,0.9916666666666666,64.63291666666665,,52.17374999999999,20.87083333333333,,0.0,,Zuerich_Schimmelstrasse
2017-04-06,27.169583333333325,179.4633333333334,10.704166666666666,61.10708333333333,27.199583333333333,22.97833333333334,10.919583333333334,2.2270833333333333,90.16500000000002,972.4966666666666,51.55708333333334,19.631250000000005,0.2483333333333334,0.01375,0.7775000000000002,Zuerich_Stampfenbachstrasse
2017-04-07,22.704583333333332,,9.670833333333334,35.504583333333336,49.16041666666666,47.34958333333333,26.99416666666667,1.0841666666666667,192.16541666666663,972.8691666666665,55.340833333333336,,,0.0,,Opfikon_Balsberg
2017-04-07,22.316249999999997,212.2458333333333,8.36875,42.458695652173915,42.56608695652174,43.78391304347826,26.848695652173923,0.5175,169.96166666666667,945.222916666667,64.35916666666667,15.648333333333333,,0.0,,StGallen_Blumenbergplatz
2017-04-07,18.215,182.39624999999998,6.867083333333333,70.68521739130435,15.047826086956523,9.710434782608695,2.2956521739130435,0.9129166666666668,194.46666666666667,918.9983333333333,65.43666666666667,,,0.0,,StGallen_Stuelegg
2017-04-07,25.268181818181816,,10.920000000000002,37.00625,57.25375,61.83291666666667,39.77958333333334,0.5591666666666668,83.05791666666666,,50.498695652173915,15.07909090909091,,0.0,,Zuerich_Schimmelstrasse
2017-04-07,21.365416666666665,250.4341666666667,11.175416666666669,47.06125,39.974583333333335,35.36000000000001,18.029583333333335,1.23625,190.03833333333338,972.7254166666665,48.9925,13.338333333333333,0.28250000000000003,0.0,1.2708333333333333,Zuerich_Stampfenbachstrasse
2017-04-08,22.641666666666662,,11.948749999999999,44.286249999999995,34.42083333333333,27.67458333333333,12.067916666666667,1.0483333333333333,121.05249999999997,971.9195833333334,58.15666666666666,,,0.0,,Opfikon_Balsberg
2017-04-08,22.801666666666666,225.70708333333332,11.33875,49.58083333333334,31.650833333333328,25.267916666666668,10.872083333333336,0.7025,151.42958333333328,944.7541666666666,62.12458333333333,16.553333333333335,,0.0,,StGallen_Blumenbergplatz
2017-04-08,20.6875,204.34833333333333,10.098333333333333,75.97791666666667,14.704999999999998,9.9775,2.85125,1.0145833333333334,76.8925,918.7995833333334,64.14625,,,0.0,,StGallen_Stuelegg
2017-04-08,30.864782608695656,,13.912916666666666,44.102083333333326,50.033750000000005,39.87416666666666,17.098750000000003,0.8429166666666665,196.85625000000002,,50.509583333333346,21.157391304347822,,0.0,,Zuerich_Schimmelstrasse
2017-04-08,27.4275,255.50250000000008,13.857916666666666,47.17833333333334,40.08083333333334,27.682500000000005,8.386666666666668,1.3379166666666666,147.65999999999997,971.7620833333331,50.38541666666666,19.472083333333334,0.31625,0.0,1.4870833333333335,Zuerich_Stampfenbachstrasse
2017-04-09,17.002083333333335,,13.925416666666669,46.1895652173913,42.11772727272727,34.00954545454546,14.948181818181814,1.2670833333333336,156.20916666666665,972.309166666667,55.39958333333332,,,0.0,,Opfikon_Balsberg
2017-04-09,17.895416666666666,227.64333333333332,14.412500000000001,60.63208333333332,28.515833333333344,20.134583333333335,6.513750000000001,0.8195833333333332,163.36500000000004,945.2520833333333,58.91291666666665,12.896250000000002,,0.0,,StGallen_Blumenbergplatz
2017-04-09,14.304583333333332,208.23375,14.778333333333336,106.51875000000001,9.124583333333335,5.103750000000002,0.41583333333333333,1.27875,172.41291666666666,919.7199999999999,50.62833333333332,,,0.0,,StGallen_Stuelegg
2017-04-09,19.97916666666666,,15.942916666666667,41.97833333333333,52.13083333333333,36.873333333333335,11.988750000000001,0.42625,117.75124999999998,,49.5825,13.514166666666666,,0.0,,Zuerich_Schimmelstrasse
2017-04-09,18.08208333333333,258.44291666666663,16.08916666666667,48.37083333333334,42.76624999999999,29.350000000000005,8.714583333333332,0.7675000000000001,202.45250000000007,972.2016666666667,48.94875,12.469166666666672,0.36791666666666667,0.0,1.2941666666666671,Zuerich_Stampfenbachstrasse
2017-04-10,18.61875,,16.08916666666667,59.41499999999999,34.46125000000001,30.574583333333337,15.657083333333333,2.275,203.12625,969.8933333333333,51.25083333333333,,,0.0,,Opfikon_Balsberg
2017-04-10,14.40875,228.5008333333333,17.062083333333337,69.22782608695653,38.39565217391305,32.68,15.716521739130433,1.2229166666666669,208.47458333333336,942.7091666666666,42.22083333333333,7.834166666666665,,0.0,,StGallen_Blumenbergplatz
2017-04-10,8.495833333333332,181.91499999999996,15.745416666666669,106.69608695652177,5.224347826086956,2.7604347826086952,0.03565217391304347,3.3312500000000007,233.26541666666665,917.3812499999999,42.24666666666667,,,0.0,,StGallen_Stuelegg
2017-04-10,19.218750000000004,,17.752083333333335,54.730833333333344,44.24791666666666,39.95291666666666,20.97208333333334,0.4883333333333333,144.6020833333333,,47.98333333333334,9.854583333333334,,0.03333333333333333,,Zuerich_Schimmelstrasse
2017-04-10,16.0825,241.4004166666667,17.947083333333335,67.8925,27.24541666666667,19.75,6.862083333333334,2.00375,246.13958333333326,969.82375,46.45083333333332,8.166250000000002,0.27625000000000016,0.025833333333333333,0.915,Zuerich_Stampfenbachstrasse
2017-04-11,28.72875,,12.287083333333335,62.90541666666667,27.22000000000001,21.40416666666667,8.942083333333334,1.0708333333333333,105.95041666666667,972.0741666666664,53.29000000000001,,,0.0,,Opfikon_Balsberg
2017-04-11,30.327083333333334,149.36249999999998,10.65125,62.735833333333325,30.33583333333334,26.005416666666665,12.649166666666664,0.8829166666666666,72.11874999999999,944.6966666666664,61.00791666666665,21.49875,,0.16458333333333333,,StGallen_Blumenbergplatz
2017-04-11,26.849999999999998,113.63791666666668,7.867916666666666,77.77374999999999,11.618749999999999,6.9375,1.0745833333333334,1.5,146.93458333333334,918.6100000000001,72.03041666666668,,,0.11416666666666668,,StGallen_Stuelegg
