,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-05-21,35.465,Opfikon_Balsberg,34.8538703036358,37.14237248153252,25.471987639218675,5,high traffic,2016
2016-05-22,33.03791666666667,Opfikon_Balsberg,30.395899294268435,36.40499619238789,22.148231467099468,6,high traffic,2016
2016-05-23,50.51363636363636,Opfikon_Balsberg,39.16189513182124,39.16189513182124,28.185446882703324,0,high traffic,2016
2016-05-24,39.73666666666666,Opfikon_Balsberg,33.41797853584466,31.796543792146288,24.26296594165843,1,high traffic,2016
2016-05-25,39.54208333333333,Opfikon_Balsberg,34.75873368943419,32.48146570385043,25.023377677595228,2,high traffic,2016
2016-05-26,37.908333333333346,Opfikon_Balsberg,36.38833392005049,33.333647127525936,27.748863355571217,3,high traffic,2016
2016-05-27,45.73863636363637,Opfikon_Balsberg,40.55155158581811,36.98759885921661,28.812043350226617,4,high traffic,2016
2016-05-28,32.571666666666665,Opfikon_Balsberg,34.10553472194092,36.34490124880127,24.674516406487427,5,high traffic,2016
2016-05-29,35.93083333333333,Opfikon_Balsberg,29.153615653030556,34.917120120971276,20.660355395682853,6,high traffic,2016
2016-05-30,33.67458333333334,Opfikon_Balsberg,32.10347389676439,32.10347389676439,21.127025647646477,0,high traffic,2016
2016-05-31,36.04818181818182,Opfikon_Balsberg,31.81942639193784,30.275553131587834,22.741975281099975,1,high traffic,2016
2016-06-01,42.44041666666667,Opfikon_Balsberg,39.159448952088184,36.59386183293488,29.135773806679673,2,high traffic,2016
2016-06-02,34.54583333333333,Opfikon_Balsberg,38.53862582955139,35.30342875836289,29.718644986408172,3,high traffic,2016
2016-06-03,42.33095238095238,Opfikon_Balsberg,36.36239636868479,33.16661577297363,24.991060263983634,4,high traffic,2016
2016-06-04,34.635,Opfikon_Balsberg,33.61728268809454,35.82459062768506,24.154205785371218,5,high traffic,2016
2016-06-05,28.73708333333333,Opfikon_Balsberg,27.318262266374425,32.718927779101605,18.462163053813182,6,high traffic,2016
2016-06-06,25.047916666666666,Opfikon_Balsberg,32.93718611396429,32.93718611396429,21.960737864846372,0,high traffic,2016
2016-06-07,39.1,Opfikon_Balsberg,37.46253697319934,35.64486092884267,28.11128307835481,1,high traffic,2016
2016-06-08,57.13136363636365,Opfikon_Balsberg,43.04627134964561,40.226033520524155,32.76794549426895,2,high traffic,2016
2016-06-09,39.9775,Opfikon_Balsberg,39.50461956088688,36.18833033804189,30.603546566087168,3,high traffic,2016
2016-06-10,29.48958333333333,Opfikon_Balsberg,29.64879213364905,27.043049827055942,18.867494318065944,4,high traffic,2016
2016-06-11,34.089166666666664,Opfikon_Balsberg,35.213825015676186,37.52596178953808,25.855576947224236,5,high traffic,2016
2016-06-12,31.65227272727273,Opfikon_Balsberg,26.08433678367877,31.241062226767173,16.98429750147875,6,high traffic,2016
2016-06-13,43.93782608695653,Opfikon_Balsberg,33.09734276864908,33.09734276864908,22.120894519531163,0,high traffic,2016
2016-06-14,34.98291666666667,Opfikon_Balsberg,33.571026135339345,31.942165547645214,24.40858769715735,1,high traffic,2016
2016-06-15,32.20875,Opfikon_Balsberg,38.19802935901922,35.69543101499137,28.237342988736167,2,high traffic,2016
2016-06-16,45.424347826086944,Opfikon_Balsberg,39.86311533714281,36.516731515426905,30.931947743472186,3,high traffic,2016
