,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
3/24,15.117916666666668,Zuerich_Stampfenbachstrasse,37.73458333333335,34.248182458266726,33.16621970734187,21.458978082601856,1,low traffic
3/25,16.449166666666667,Zuerich_Stampfenbachstrasse,20.47,32.02520435894351,31.241208121715214,20.470019924860914,2,low traffic
3/26,22.71125,Zuerich_Stampfenbachstrasse,25.707916666666666,33.71552994111524,31.820848581859327,22.61518958542162,3,low traffic
3/27,42.98791666666667,Zuerich_Stampfenbachstrasse,35.1175,40.955648918578824,39.443074055556586,26.45013149220709,4,low traffic
3/28,34.1491304347826,Zuerich_Stampfenbachstrasse,27.30208333333334,40.63921727914143,51.67050011299117,32.728856629847215,5,low traffic
3/29,18.629565217391306,Zuerich_Stampfenbachstrasse,32.23208333333333,24.24285581970953,35.33063589992416,14.92666074665308,6,low traffic
3/30,15.432727272727272,Zuerich_Stampfenbachstrasse,43.00625,25.787470725615943,25.787470725615943,12.569787163980866,0,low traffic
3/31,19.58833333333333,Zuerich_Stampfenbachstrasse,34.81695652173913,30.146164012167272,29.19379152979737,17.48654990505736,1,low traffic
4/1,27.340416666666666,Zuerich_Stampfenbachstrasse,38.004166666666656,43.31175141400989,42.25145372610869,31.480265529254392,2,low traffic
4/2,38.821666666666665,Zuerich_Stampfenbachstrasse,37.90857142857143,47.63329127982369,44.956485984889504,35.7508269884518,3,low traffic
4/3,23.610833333333336,Zuerich_Stampfenbachstrasse,14.52,53.32377617079287,51.354421379278946,38.361478815929445,4,low traffic
4/4,17.694166666666664,Zuerich_Stampfenbachstrasse,35.67625,35.64233587878402,45.31724386820885,26.375600385064892,5,low traffic
4/5,18.3375,Zuerich_Stampfenbachstrasse,31.955,29.626970243319885,43.17724389688525,22.77326874361417,6,low traffic
4/6,29.37583333333333,Zuerich_Stampfenbachstrasse,37.78249999999999,43.447719761835565,43.447719761835565,30.230036200200487,0,low traffic
4/7,33.75958333333333,Zuerich_Stampfenbachstrasse,19.69041666666666,43.05824187959293,41.69795323096752,29.99071160622751,1,low traffic
4/8,31.1225,Zuerich_Stampfenbachstrasse,18.312500000000004,38.01634757765303,37.08568455611575,26.31449635926145,2,low traffic
4/9,30.869090909090914,Zuerich_Stampfenbachstrasse,32.55166666666666,48.93078091875957,46.18106176374329,36.97540276730558,3,low traffic
4/10,18.379583333333333,Zuerich_Stampfenbachstrasse,27.97333333333333,43.57355912131882,41.96429954517713,28.97135698182763,4,low traffic
4/11,19.605416666666667,Zuerich_Stampfenbachstrasse,27.647500000000004,34.43130096205218,43.77748045760926,24.835836974465302,5,low traffic
4/12,16.325416666666666,Zuerich_Stampfenbachstrasse,30.41624999999999,29.41766358969659,42.87220816901593,22.468233015744847,6,low traffic
4/13,8.865416666666668,Zuerich_Stampfenbachstrasse,19.25,38.46827658996007,38.46827658996007,25.250593028324992,0,low traffic
4/14,10.31,Zuerich_Stampfenbachstrasse,19.541666666666668,28.83597189796337,27.924990781860917,16.217749157120906,1,low traffic
4/15,19.707619047619048,Zuerich_Stampfenbachstrasse,30.65333333333334,31.030684503284174,30.271034709436748,19.499846512582447,2,low traffic
4/16,31.31249999999999,Zuerich_Stampfenbachstrasse,30.74000000000001,41.46678189208413,39.136510387632605,29.9308513911949,3,low traffic
4/17,23.29208333333333,Zuerich_Stampfenbachstrasse,25.59541666666667,42.37682702191061,40.81176518012628,27.81882261677678,4,low traffic
4/18,12.975,Zuerich_Stampfenbachstrasse,33.098749999999995,23.514015853456044,29.89676081769618,10.955117334552224,5,low traffic
4/19,7.802916666666667,Zuerich_Stampfenbachstrasse,21.825833333333332,23.7417257948579,34.60030765071855,14.196332497447468,6,low traffic
4/20,10.169166666666667,Zuerich_Stampfenbachstrasse,20.544166666666666,25.976574009813344,25.976574009813344,12.758890448178267,0,low traffic
4/21,14.397083333333335,Zuerich_Stampfenbachstrasse,18.341666666666665,26.809157067350878,25.962206740398084,14.254965115658074,1,low traffic
4/22,16.070000000000004,Zuerich_Stampfenbachstrasse,21.33125,30.763931419560787,30.01081190141634,19.23962370456204,2,low traffic
4/23,23.260000000000005,Zuerich_Stampfenbachstrasse,33.13666666666667,41.743616936431046,39.397788381592704,30.192129385155,3,low traffic
4/24,25.080416666666675,Zuerich_Stampfenbachstrasse,30.84428571428571,27.719828477822936,26.696079205867857,13.70313664251836,4,low traffic
4/25,16.544583333333332,Zuerich_Stampfenbachstrasse,,26.697461610886137,33.94433469785109,15.002691214707134,5,low traffic
